trade_date,expiry_date,days_to_expiry,strike,option_type,open,high,low,close,settle_pr,contracts,val_inlakh,open_int,chg_in_oi,has_traded
2024-07-05,2024-12-26,174,19000.0,PE,37.45,38.95,35.1,36.8,36.8,486,2312.95,522125,-4025,True
2024-07-05,2024-12-26,174,20000.0,PE,60.0,60.0,54.3,57.35,57.35,1949,9772.87,818275,12450,True
2024-07-05,2024-12-26,174,21000.0,PE,84.85,89.5,81.0,84.0,84.0,2252,11871.16,1720275,8300,True
2024-07-05,2024-12-26,174,22000.0,PE,150.05,160.0,147.0,148.15,148.15,4696,26007.42,2373875,27500,True
2024-07-05,2024-12-26,174,23000.0,PE,275.95,288.0,261.3,267.25,267.25,5028,29256.12,1916500,24325,True
2024-07-05,2024-12-26,174,24000.0,PE,484.0,518.0,471.0,482.4,482.4,6159,37716.27,1127075,33850,True
2024-07-05,2024-12-26,174,25000.0,PE,850.0,880.0,800.65,819.1,819.1,2921,18874.68,558325,-9925,True
2024-07-05,2024-12-26,174,26000.0,PE,1395.0,1452.65,1342.5,1365.65,1365.65,645,4419.08,161625,3400,True
2024-07-05,2024-12-26,174,27000.0,PE,2151.65,2204.75,2051.05,2085.6,2085.6,428,3121.57,48500,475,True
2024-07-05,2024-12-26,174,28000.0,PE,0.0,0.0,0.0,7598.3,3016.9,0,0.0,0,0,False
2024-07-05,2024-12-26,174,29000.0,PE,0.0,0.0,0.0,7446.8,3853.9,0,0.0,0,0,False
2024-07-05,2025-03-27,265,19000.0,CE,0.0,0.0,0.0,4745.3,6325.45,0,0.0,0,0,False
2024-07-05,2025-03-27,265,20000.0,CE,0.0,0.0,0.0,3896.85,5410.0,0,0.0,0,0,False
2024-07-05,2025-03-27,265,21000.0,CE,0.0,0.0,0.0,3110.65,4528.55,0,0.0,0,0,False
2024-07-05,2025-03-27,265,22000.0,CE,0.0,0.0,0.0,2408.3,3699.85,0,0.0,0,0,False
2024-07-05,2025-03-27,265,23000.0,CE,0.0,0.0,0.0,2020.2,2943.6,0,0.0,25,0,False
2024-07-05,2025-03-27,265,24000.0,CE,1740.0,1833.0,1740.0,1822.55,1822.55,48,309.47,7675,625,True
2024-07-05,2025-03-27,265,25000.0,CE,0.0,0.0,0.0,918.35,1710.65,0,0.0,0,0,False
2024-07-05,2025-03-27,265,26000.0,CE,0.0,0.0,0.0,624.25,1248.3,0,0.0,0,0,False
2024-07-05,2025-03-27,265,27000.0,CE,0.0,0.0,0.0,282.0,885.0,0,0.0,50,0,False
2024-07-05,2025-03-27,265,28000.0,CE,0.0,0.0,0.0,264.0,611.15,0,0.0,0,0,False
2024-07-05,2025-03-27,265,29000.0,CE,0.0,0.0,0.0,164.5,409.95,0,0.0,0,0,False
2024-07-05,2025-03-27,265,19000.0,PE,0.0,0.0,0.0,63.55,20.8,0,0.0,0,0,False
2024-07-05,2025-03-27,265,20000.0,PE,0.0,0.0,0.0,170.0,53.75,0,0.0,375,0,False
2024-07-05,2025-03-27,265,21000.0,PE,134.9,140.0,131.0,131.0,120.65,19,100.38,4300,425,True
