Date,Ticker,EventDate,Source,Purpose,Company,SourceUrl,FetchedAtIST
2025-02-14,AKI,2025-02-14,NSE corporates-financial-results quarterly,Third Quarter,AKI India Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-02-14,AKSHAR,2025-02-14,NSE corporates-financial-results quarterly,Third Quarter,Akshar Spintex Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-02-10,AKSHARCHEM,2025-02-10,NSE corporates-financial-results quarterly,Third Quarter,AksharChem India Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-03-07,AKSHARCHEM,2025-03-07,NSE corporates-financial-results quarterly,Third Quarter,AksharChem India Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-02-13,AKSHOPTFBR,2025-02-13,NSE corporates-financial-results quarterly,Third Quarter,Aksh Optifibre Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-02-06,AKUMS,2025-02-06,NSE corporates-financial-results quarterly,Third Quarter,Akums Drugs and Pharmaceuticals Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-01-30,ALANKIT,2025-01-30,NSE corporates-financial-results quarterly,Third Quarter,Alankit Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-02-12,ALBERTDAVD,2025-02-12,NSE corporates-financial-results quarterly,Third Quarter,Albert David Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-02-07,ALEMBICLTD,2025-02-07,NSE corporates-financial-results quarterly,Third Quarter,Alembic Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-02-10,ALICON,2025-02-10,NSE corporates-financial-results quarterly,Third Quarter,Alicon Castalloy Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-03-19,ALICON,2025-03-19,NSE corporates-financial-results quarterly,Third Quarter,Alicon Castalloy Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-01-23,ALIVUS,2025-01-23,NSE corporates-financial-results quarterly,Third Quarter,Alivus Life Sciences Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-01-30,ALKALI,2025-01-30,NSE corporates-financial-results quarterly,Third Quarter,Alkali Metals Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-02-07,ALKEM,2025-02-07,NSE corporates-financial-results quarterly,Third Quarter,Alkem Laboratories Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
2025-01-24,ALKYLAMINE,2025-01-24,NSE corporates-financial-results quarterly,Third Quarter,Alkyl Amines Chemicals Limited,https://www.nseindia.com/api/corporates-financial-results?index=equities&period=Quarterly,2026-07-03T14:04:51.745795+05:30
